rufas_id,Name,Fd_Category,feed_type,DM,ash,CP,N_A,N_B,N_C,Kd,RUP,dRUP,sol_prot,ADICP,NDICP,ADF,NDF,NDF48,lignin,starch,WSC,FA,EE,DE_Base,calcium,phosphorus,magnesium,potassium,sodium,chlorine,sulfur,copper,iron,manganese,zinc,molibdenum,chromium,cobalt,iodine,selenium,arginine,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,threonine,triptophan,valine,C120_FA,C140_FA,C160_FA,C161_FA,C180_FA,C181t_FA,C181c_FA,C182_FA,C183_FA,otherFA_FA,NPN_source,starch_digested,FA_dig,P_inorg,P_org,B_Carotene,biotin,choline,niacin,Vit_A,Vit_D,Vit_E,Abs_calcium,Abs_phosphorus,Abs_sodium,Abs_chloride,Abs_potassium,Abs_copper,Abs_iron,Abs_magnesium,Abs_manganesum,Abs_zinc,is_fat,is_wetforage,units,limit,lower_limit,TDN,DE
1,Alfalfa meal,Plant Protein,Forage,90.749,11.657,19.513,28,66,6,6.7,35.576,75,37.042,1.619,3.974,33.882,42.853,49.097,7.55,1.83,8.264,1.608,2.351,2.499,1.496,0.266,0.3,2.327,0.122,0.671,0.257,8.834,951.066,49.516,23.12,1.708,0.5,0,0,0.4,4.036,1.867,3.795,6.566,4.398,1.265,4.398,3.916,1.627,4.819,1.167,0.584,20.096,1.706,3.346,0,3.019,21.067,44.926,4.089,0,91,73,55,45,0,0,0,0,0,0,0,0.3,0.768,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,56.45,2.6
2,Almond hulls,By-Product/Other,Conc,88.201,7.624,5.25,30,35,35,5.3,54.394,50,37.003,1.449,1.942,27.639,33.005,43.94,9.53,0.928,36.419,1.26,2.517,2.434,0.267,0.117,0.119,2.822,0.023,0.078,0.041,5.803,290.851,16.795,15.847,1.062,0,0,0,0.07,2.23,0.86,2.35,4.05,2.74,0.9,2.8,2.7,1,3.53,0.222,0.054,14.493,0.262,3.908,0,50.817,23.39,3.246,3.608,0,91,73,86,14,0,0,0,0,0,0,0,0.6,0.818,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,58.36,2.53
3,"Apple pomace or byproduct, wet",By-Product/Other,Conc,18.234,2.922,6.419,42,53,5,7.4,29.767,80,19.704,1.981,3.38,38.581,45.725,66.333,15.948,3.524,25.533,1.88,5.966,2.283,0.146,0.144,0.083,0.844,0.021,0.038,0.075,8.908,172.237,12.417,8.175,1,0,0,0,0,4.52,1.86,3.13,5.58,3.93,1.38,3.31,3.04,0.88,4.11,0.6,1.2,26.9,0.6,3.9,0,7.8,48.8,10.1,0.1,0,91,73,0,100,0,0,0,0,0,0,0,0.6,0.68,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,57.09,2.48
4,Bakery byproduct,By-Product/Other,Conc,90.129,4.368,12.832,48,44,8,16.18,21.904,90,17.97,0.457,1.057,5.613,12.664,52,1.692,51.667,19,7.682,8.682,3.593,0.369,0.348,0.147,0.471,0.601,0.621,0.168,6.17,236.617,30.332,31.446,0,0,0,0,0.2,4.63,2.222,3.426,6.944,2.685,1.481,4.537,3.056,1.204,4.352,0.487,3.161,15.816,0.179,9.286,7.771,26.411,33.509,0.851,2.529,0,91,73,48,52,0,0,0,0,0,0,0,0.6,0.757,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,93.49,4.09
5,"Bakery byproduct, bread waste",By-Product/Other,Conc,67.441,3.567,14.9,48,44,8,16.18,21.904,90,20.574,0.623,1.036,3.201,6.345,52,1.293,53.462,11.419,4.756,5.756,3.656,0.221,0.26,0.094,0.326,0.645,0.928,0.211,4.194,125.012,21.15,25.145,1.053,0,0,0,0.2,4.74,2.61,4,7.77,2.91,1.73,5.44,3.36,1.15,4.42,0,5.211,18.855,0,1.017,0,13.904,56.83,3.813,0.37,0,91,73,48,52,0,0,0,0,0,0,0,0.6,0.757,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,89.4,3.96
6,"Bakery byproduct, cereal",By-Product/Other,Conc,91.137,3.541,9.195,34,62,4,20,19.133,75,18.209,1.066,1.529,3.058,7.202,52,1.493,47.632,28.068,1.949,2.949,3.436,0.217,0.276,0.083,0.311,0.591,0.79,0.123,3.331,189.346,21.79,55.37,1,0,0,0,0.2,6.84,2.82,3.15,6.16,4.05,1.57,3.97,3.26,1.37,4.5,0,5.211,18.855,0,1.017,0,13.904,56.83,3.813,0.37,0,91,73,48,52,0,0,0,0,0,0,0,0.6,0.757,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,87.62,3.79
7,"Bakery byproduct, cookies",By-Product/Other,Conc,89.269,4.594,12.94,48,44,8,16.18,21.904,90,22.311,1.129,2.105,7.625,14.436,52,2.169,36.208,18.163,9.037,10.037,3.583,0.239,0.416,0.168,0.571,0.592,0.795,0.169,6.568,171.647,39.99,40.819,1.079,0,0,0,0.2,4.19,1.77,3.12,7.12,1.71,1.83,4.78,3.14,0.88,4.58,0.487,3.161,15.816,0.179,9.286,7.771,26.411,33.509,0.851,2.529,0,91,73,48,52,0,0,0,0,0,0,0,0.6,0.757,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,95.04,4.11
8,"Barley grain, dry, ground",Energy Source,Conc,88.742,2.818,11.806,30,61,9,22.7,22.438,85,25.312,0.697,1.378,7.332,18.634,51.545,1.724,56.666,4.911,1.311,2.309,3.361,0.115,0.381,0.14,0.59,0.021,0.15,0.137,5.527,89.425,20.391,33.79,1.046,0,0,0,0.11,4.907,2.222,3.426,6.759,3.611,1.667,5.093,3.333,1.204,4.815,0,0.317,22.966,0.055,1.526,0,13.541,55.933,4.341,1.321,0,91,73,15,85,0,0,0,0,0,0,0,0.6,0.704,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,82.68,3.64
11,Barley malt sprouts,By-Product/Other,Conc,81.164,5.873,23.884,47,45,8,13.325,23.786,64.411,39.947,0.859,5.126,18.339,40.516,63,2.612,8.559,15.899,1.46,2.726,3.109,0.193,0.614,0.18,1.114,0.053,0.364,0.335,9.926,180.162,46.203,64.565,1.359,0,0,0,0.6,4.55,1.905,3.228,5.714,4.709,1.481,3.439,3.386,1.27,4.55,0,0.317,22.966,0.055,1.526,0,13.541,55.933,4.341,1.321,0,91,73,67,33,0,0,0,0,0,0,0,0.6,0.787,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,FALSE,kg,100,0,66.39,3.06
12,"Barley silage, headed",Grain Crop Forage,Forage,36.959,5.919,10.875,57,33,10,6.95,27.246,83.314,61.374,0.949,1.298,26.349,44.757,50,3.808,23.868,7,2.064,3.08,2.855,0.316,0.288,0.177,1.571,0.106,0.47,0.184,5.959,172.431,31.264,25.886,0.765,0,0,0,0.1,1.04,1.21,3.45,4.88,2.35,1.16,3.42,2.51,1.42,4.8,0.8,5.5,43.4,0,4.1,0,7.3,12.3,2.4,24.2,0,91,73,67,33,0,0,0,0,0,0,0,0.4,0.787,1,0.92,1,0.05,0.1,0.31,0.004,0.2,FALSE,TRUE,kg,100,0,60.22,2.68
